DEBUG 10-11 15:59:18,494 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:18,508 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:18,734 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:18,743 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:19,102 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:19,157 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:19,171 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:19,392 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:19,401 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:19,774 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:19,829 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:19,875 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:21,355 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:21,591 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:21,959 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:22,016 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:22,032 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:22,426 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:22,484 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:22,848 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:22,908 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:22,924 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:22,924 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:23,872 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:23,930 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:23,937 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:23,937 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:24,387 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:24,451 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:24,458 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:24,459 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:24,902 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:24,960 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:24,968 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:24,968 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:25,450 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:25,506 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:25,513 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:25,514 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:25,939 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:25,997 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:26,004 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:26,005 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:26,442 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:26,506 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:26,513 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:26,513 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:28,269 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:28,326 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:28,333 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-11 15:59:28,333 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  11-11 11:08:17,228 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:17,603 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:17,673 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:20,776 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:21,226 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:22,819 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:23,012 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:23,076 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:23,894 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:23,941 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:25,106 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:25,308 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:25,358 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:26,252 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 11-11 11:08:26,320 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  11-11 11:08:27,800 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 11-11 11:08:27,998 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 11-11 11:08:28,053 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
